Name,Description,Designator,Footprint,LibRef,Quantity

"EVP-AWBD4A","3.0MM X 2.0MM / 1.6N / 0.13MM ST","B1, B2, RST1","FP-EVP-AWBD4A-MFG","CMP-05618-000071-1","3"
"20pF","CAP CER 20PF 100V NP0 0603","C1, C2","FP-C0603C-CF-MFG","CMP-1035-00786-2","2"
"100nF","CAP 100nF 10V ±5% 0603 (1608 Metric) Thickness 1mm SMD","C3, C4, C6, C9, C10, C12, C13, C14, C22","CAPC0603(1608)100_L","CMP-1035-02579-1","9"
"27pF","Cap Ceramic 27pF 50V C0G 5% SMD 0402 125°C Paper T/R","C5, C8","FP-AC0402-0_5-MFG","CMP-03422-000367-1","2"
"1uF","","C7","CAPC1608X90X35LL15T15","CMP-2006-04194-1","1"
"2.2uF","CC0603 2.2 uF X5R 10.00% 16 V","C11, C15","FP-CC0603-DA-MFG","CMP-03422-000187-1","2"
"4.7uF","CC0603 4.7 uF X5R 10.00% 6.3 V","C16","FP-CC0603-DA-MFG","CMP-03422-000953-1","1"
"0603ZD475MAT2A","","C17, C18","CAPC1608X90X35NL15T15","CMP-1035-02787-2","2"
"CAP 10uF 6.3V 0603(1608)","CAP 10uF 6.3V ±10% 0603 (1608 Metric) Thickness 1mm SMD","C19","CAPC0603(1608)100_M","CMP-1035-02796-1","1"
"0.1uF","CAP 100nF 10V ±5% 0603 (1608 Metric) Thickness 1mm SMD","C20","CAPC0603(1608)100_L","CMP-1035-02579-1","1"
"06033D105MAT2A","","C21, C23","CAPC1608X90X35LL15T15","CMP-2006-04194-1","2"
"APT1608LZGCK","LED GREEN CLEAR 2SMD","D1, D2","FP-APT1608LZGCK-MFG","CMP-44529-000040-1","2"
"1206L050YR","PTC RESET FUSE 6V 500MA 1206","F1","FP-1206L050YR-MFG","CMP-08606-000073-1","1"
"TMM-112-05-L-D","2MM TERMINAL STRIP","J1","FP-TMM-112-05-L-D-MFG","CMP-02766-001490-1","1"
"OLED","LPPB071NFFN-RC .050 Female Header 1 Row 1x07 pins Straight","J2","FP-LPPB071NFFN-RC-MFG","CMP-00595-12086171-1","1"
"629722000214","Usb Conn, R/a, Type C 2.0, Rcpt, 16POS Rohs Compliant: Yes","J3","629722000214","CMP-207978-000003-3","1"
"61300511121","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins","P1","61300511121","CMP-1502-01068-4","1"
"TMM-115-02-S-D","Low Profile Through-Hole Header, Vertical, -55 to 125 degC, 2 mm Pitch, 30-Pin, Male, RoHS","P2","SMTC-TMM-115-02-X-D","CMP-1029-00203-1","1"
"10K","RES 10kO 5.00% 0.2W 0603","R1, R2, R5","FP-AC0603-IPC_A","CMP-03412-040683-1","3"
"0","RES 0O 0.00% 0.1W 0603","R3, R4","FP-AC0603-IPC_A","CMP-03412-047235-1","2"
"1M","RES 1M OHM 1% 1/4W 0603","R6","FP-CRGP0603-IPC_C","CMP-03211-004384-3","1"
"5.1K","5.1kO ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thin Film","R7, R8","FP-RN73R1E-IPC_C","CMP-04015-008529-1","2"
"CR0603AFX-3570EAS","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0603 357O 0.1W 1% 100ppm/°C","R9, R10","FP-CR0603-IPC_C","CMP-07231-001527-1","2"
"473521001","MicroSD(TM), Pitch 1.1 mm, 8 Position, Height 1.88 mm, -20 to 85 degC, RoHS, Tape and Reel","SD-CARD1","MOLX-473521001_V","CMP-2000-05848-1","1"
"STM32H750VBT6","High-performance and DSP with DP-FPU, Arm Cortex-M7 MCU with 128 Kbytes of Flash memory, 1MB RAM, 480 MHz CPU, L1 cache, external memory interface, JPEG codec, HW crypto, large set of peripherals","U1","QFP50P1600X1600X160-100N","STM32H750VBT6","1"
"W25Q128FVSIG","3V 128M-Bit Serial Flash Memory with Dual/Quad SPI & QPI, 2.7 to 3.6 V, -40 to 85 degC, 8-Pin SOIC, RoHS, Tape and Reel","U2","WINB-SOIC-8_M","CMP-2000-05005-1","1"
"AP7361C-33FGE-7","IC REG LINEAR 3.3V 1A UDFN3030-8","U3","FP-U-DFN3030-8_Type_E-MFG","CMP-12756-000002-1","1"
"TPD2EUSB30DRTR","ESD Solution for Super-Speed (6 Gbps) USB 3.0 Interface, 2 Channels, -40 to +85 degC, 3-pin SOT (DRT), Green (Rohs & No Sb/Br)","U4","DRT0003A","CMP-0326-00046-3","1"
"TPD1E10B06DPYT","ESD Protection in 0402 Package with 10 pF Capacitance and 6 V Breakdown, 1 Channel, -40 to +125 degC, 2-pin X2SON (DPY)","U5","DPY0002A_L","CMP-0326-00006-3","1"
"TLV73333PQDBVRQ1","IC REG LINEAR 3.3V 300MA SOT23-5","U6","FP-DBV0005A-IPC_A","CMP-04917-000347-1","1"
"ABM8G-25.000MHZ-18-D2Y-T","Crystal 25MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 60? 4-Pin SMD T/R","Y1","FP-ABM8G-MFG","CMP-2000-05733-3","1"
"ABS07-32.768KHZ-T","Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70k? 2-Pin CSMD T/R","Y2","FP-ABS07-MFG","CMP-0447-00001-4","1"
